Test angle: 90
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
5.0004 | -0.0054 | 0.0000 | 0.9090 | -0.0050 | 0.0000 | 2.9547 | -0.0549 | 0.0000 | 2.9547 | 0.0445 | -0.0000 | 
5.0770 | -0.0054 | 0.0000 | 0.9229 | -0.0050 | 0.0000 | 3.0000 | -0.0557 | 0.0000 | 2.9999 | 0.0453 | -0.0000 | 
5.1536 | -0.0054 | -0.0000 | 0.9368 | -0.0050 | -0.0000 | 3.0452 | -0.0564 | 0.0000 | 3.0452 | 0.0460 | -0.0000 | 
5.2303 | -0.0055 | 0.0000 | 0.9506 | -0.0050 | -0.0000 | 3.0905 | -0.0572 | 0.0000 | 3.0904 | 0.0467 | -0.0000 | 
5.3069 | -0.0055 | 0.0000 | 0.9645 | -0.0051 | 0.0000 | 3.1357 | -0.0580 | 0.0000 | 3.1357 | 0.0475 | -0.0000 | 
5.3835 | -0.0055 | 0.0000 | 0.9784 | -0.0051 | 0.0000 | 3.1810 | -0.0588 | 0.0000 | 3.1809 | 0.0482 | -0.0000 | 
5.4602 | -0.0055 | -0.0000 | 0.9923 | -0.0051 | -0.0000 | 3.2262 | -0.0595 | 0.0000 | 3.2262 | 0.0489 | -0.0000 | 
5.5368 | -0.0055 | -0.0000 | 1.0061 | -0.0051 | 0.0000 | 3.2715 | -0.0603 | 0.0000 | 3.2715 | 0.0497 | -0.0000 | 
5.6134 | -0.0055 | -0.0000 | 1.0200 | -0.0051 | 0.0000 | 3.3167 | -0.0610 | 0.0000 | 3.3167 | 0.0504 | -0.0000 | 
5.6901 | -0.0055 | 0.0000 | 1.0339 | -0.0051 | -0.0000 | 3.3620 | -0.0618 | 0.0000 | 3.3620 | 0.0512 | -0.0000 | 
5.7667 | -0.0056 | 0.0000 | 1.0478 | -0.0051 | 0.0000 | 3.4073 | -0.0626 | 0.0000 | 3.4073 | 0.0519 | -0.0000 | 
5.8434 | -0.0056 | 0.0000 | 1.0617 | -0.0051 | 0.0000 | 3.4525 | -0.0633 | 0.0000 | 3.4525 | 0.0526 | -0.0000 | 
5.9200 | -0.0056 | 0.0000 | 1.0756 | -0.0051 | -0.0000 | 3.4978 | -0.0641 | 0.0000 | 3.4978 | 0.0534 | -0.0000 | 
5.9966 | -0.0056 | 0.0000 | 1.0895 | -0.0051 | -0.0000 | 3.5431 | -0.0649 | 0.0000 | 3.5430 | 0.0541 | -0.0000 | 
6.0732 | -0.0057 | -0.0000 | 1.1033 | -0.0052 | -0.0000 | 3.5883 | -0.0656 | 0.0000 | 3.5883 | 0.0548 | -0.0000 | 
6.1499 | -0.0057 | 0.0000 | 1.1172 | -0.0052 | -0.0000 | 3.6336 | -0.0664 | 0.0000 | 3.6335 | 0.0556 | -0.0000 | 
