Test angle: 75
Node_A_151 coordinates: initialX | initialY | initialZ 
75.0000 | 0.0000 | 0.0000 | 
Node_B_1051 coordinates: initialX | initialY | initialZ 
-75.0000 | 0.0000 | 0.0000 | 
Node_C_606 coordinates: initialX | initialY | initialZ 
0.0000 | 5.0000 | 0.0000 | 
Node_D_1256 coordinates: initialX | initialY | initialZ 
0.0000 | -5.0000 | 0.0000 | 
  UA1  |  UA2  |  UA3 | UB1 | UB2 | UB3 | UC1 | UC2 | UC3 | UD1 | UD2 | UD3 
9.9426 | -0.1010 | -0.0000 | 1.7625 | 0.0898 | 0.0000 | 5.9248 | -0.0772 | -0.0000 | 5.7803 | 0.0660 | 0.0000 | 
10.0196 | -0.1014 | 0.0000 | 1.7760 | 0.0901 | 0.0000 | 5.9706 | -0.0777 | -0.0000 | 5.8250 | 0.0665 | 0.0000 | 
10.0966 | -0.1017 | 0.0000 | 1.7895 | 0.0905 | 0.0000 | 6.0164 | -0.0783 | -0.0000 | 5.8697 | 0.0670 | 0.0000 | 
10.1737 | -0.1021 | 0.0000 | 1.8030 | 0.0908 | 0.0000 | 6.0622 | -0.0788 | -0.0000 | 5.9145 | 0.0675 | 0.0000 | 
10.2507 | -0.1024 | 0.0000 | 1.8165 | 0.0912 | 0.0000 | 6.1080 | -0.0793 | -0.0000 | 5.9592 | 0.0681 | 0.0000 | 
10.3277 | -0.1028 | 0.0000 | 1.8300 | 0.0915 | 0.0000 | 6.1538 | -0.0799 | -0.0000 | 6.0039 | 0.0686 | 0.0000 | 
10.4048 | -0.1032 | -0.0000 | 1.8434 | 0.0918 | 0.0000 | 6.1996 | -0.0804 | -0.0000 | 6.0486 | 0.0691 | 0.0000 | 
10.4818 | -0.1035 | -0.0000 | 1.8569 | 0.0922 | 0.0000 | 6.2454 | -0.0810 | -0.0000 | 6.0933 | 0.0696 | 0.0000 | 
10.5588 | -0.1039 | -0.0000 | 1.8704 | 0.0925 | 0.0000 | 6.2912 | -0.0815 | -0.0000 | 6.1380 | 0.0701 | 0.0000 | 
10.6359 | -0.1042 | -0.0000 | 1.8839 | 0.0928 | 0.0000 | 6.3370 | -0.0821 | -0.0000 | 6.1828 | 0.0707 | 0.0000 | 
10.7129 | -0.1045 | -0.0000 | 1.8973 | 0.0931 | 0.0000 | 6.3828 | -0.0826 | -0.0000 | 6.2275 | 0.0712 | 0.0000 | 
10.7900 | -0.1049 | -0.0000 | 1.9108 | 0.0935 | 0.0000 | 6.4286 | -0.0831 | -0.0000 | 6.2722 | 0.0717 | 0.0000 | 
